season,fullName,Current_Team,Team_in_2023,position,Starting_11,Batting_FP,Bowling_FP,Fielding_FP,Total_FP,AverageFantasyPointsin2021,AverageFantasyPointsin2022,AverageFantasyPointsin2023,Average_Fantasy_Points_2024,Consistency_Rating,ceiling_average,Tot_60_plus_scores,Upside_Score,Risk.Rating
2023,Amit Mishra,Lucknow Super Giants,Lucknow Super Giants,Bowler,84,57,567,42,750.0,,,35.71,,56,90.33,3,25 %,High
2024,Amit Mishra,Lucknow Super Giants,Lucknow Super Giants,Bowler,0,0,87,0,87.0,,,,29.0,56,90.33,3,25 %,High
2021,Amit Mishra,Lucknow Super Giants,Lucknow Super Giants,Bowler,48,0,528,0,576.0,48.0,,,,56,90.33,3,25 %,High
2023,Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders,Allrounder,224,1272,708,240,2444.0,,,43.64,,78,172.33,23,45.1 %,Low
2024,Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders,Allrounder,144,1448,2156,0,3604.0,,,,64.36,78,172.33,23,45.1 %,Low
2021,Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders,Allrounder,160,1012,1156,64,2392.0,59.8,,,,78,172.33,23,45.1 %,Low
2022,Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders,Allrounder,208,1852,1780,56,3896.0,,74.92,,,78,172.33,23,45.1 %,Low
2021,Anmolpreet Singh,Sunrisers Hyderabad,,Batsman,16,80,0,0,96.0,24.0,,,,52,51.33,0,0 %,High
2022,Anmolpreet Singh,Sunrisers Hyderabad,,Batsman,32,56,0,0,88.0,,11.0,,,52,51.33,0,0 %,High
2024,Anmolpreet Singh,Sunrisers Hyderabad,,Batsman,32,60,0,0,60.0,,,,7.5,52,51.33,0,0 %,High
2023,Anmolpreet Singh,Sunrisers Hyderabad,,Batsman,64,560,0,32,656.0,,,41.0,,52,51.33,0,0 %,High
2023,Anrich Nortje,Delhi Capitals,Delhi Capitals,Bowler,160,188,1152,56,1556.0,,,38.9,,61,81.33,10,33.33 %,High
2022,Anrich Nortje,Delhi Capitals,Delhi Capitals,Bowler,96,4,884,64,1048.0,,43.67,,,61,81.33,10,33.33 %,High
2024,Anrich Nortje,Delhi Capitals,Delhi Capitals,Bowler,32,48,828,0,876.0,,,,36.5,61,81.33,10,33.33 %,High
2021,Anrich Nortje,Delhi Capitals,Delhi Capitals,Bowler,128,0,1464,32,1624.0,50.75,,,,61,81.33,10,33.33 %,High
2024,Anuj Rawat,Royal Challengers Bengaluru,Royal Challengers Bangalore,Wicketkeeper,80,600,0,0,600.0,,,,30.0,55,75.33,3,13.64 %,High
2022,Anuj Rawat,Royal Challengers Bengaluru,Royal Challengers Bangalore,Wicketkeeper,128,628,0,160,916.0,,28.62,,,55,75.33,3,13.64 %,High
2023,Anuj Rawat,Royal Challengers Bengaluru,Royal Challengers Bangalore,Wicketkeeper,112,452,0,168,732.0,,,26.14,,55,75.33,3,13.64 %,High
2021,Anuj Rawat,Royal Challengers Bengaluru,Royal Challengers Bangalore,Wicketkeeper,32,-8,0,112,136.0,17.0,,,,55,75.33,3,13.64 %,High
2024,Anukul Roy,Kolkata Knight Riders,Kolkata Knight Riders,Allrounder,12,21,36,0,57.0,,,,6.33,53,55.67,2,18.18 %,High
2022,Anukul Roy,Kolkata Knight Riders,Kolkata Knight Riders,Allrounder,24,0,81,24,129.0,,21.5,,,53,55.67,2,18.18 %,High
2023,Anukul Roy,Kolkata Knight Riders,Kolkata Knight Riders,Allrounder,72,78,291,72,513.0,,,28.5,,53,55.67,2,18.18 %,High
2023,Arshad Khan,Lucknow Super Giants,Mumbai Indians,Allrounder,96,80,468,32,676.0,,,28.17,,62,106.33,4,22.22 %,High
2024,Arshad Khan,Lucknow Super Giants,Mumbai Indians,Allrounder,48,480,148,0,628.0,,,,52.33,62,106.33,4,22.22 %,High
2022,Arshdeep Singh,Punjab Kings,Punjab Kings,Bowler,224,80,1160,152,1616.0,,28.86,,,68,132.33,9,16.67 %,Medium
2023,Arshdeep Singh,Punjab Kings,Punjab Kings,Bowler,224,8,1812,56,2100.0,,,37.5,,68,132.33,9,16.67 %,Medium
2021,Arshdeep Singh,Punjab Kings,Punjab Kings,Bowler,192,8,2096,80,2376.0,49.5,,,,68,132.33,9,16.67 %,Medium
2024,Arshdeep Singh,Punjab Kings,Punjab Kings,Bowler,16,40,2204,0,2244.0,,,,40.07,68,132.33,9,16.67 %,Medium
