BatsmanName,venue,city,TotalBatsmenRuns_Venue,TotalBatsmenSixes_Venue,TotalBatsmenFours_Venue,TotalBallsFaced_Venue,TotalDotBalls_Venue,DotBallPercentage_Venue,BoundaryPercentage_Venue,TotalInnings_Venue,NumberOfOuts_Venue,NotOuts_Venue,BattingStrikeRate_Venue,BattingAverage_Venue
Charith Asalanka,Manuka Oval,Canberra,6,1,0,4,3,75,100,1,1,0,150,6
Charith Asalanka,Melbourne Cricket Ground,Melbourne,42,1,5,28,9,32.14,61.9,2,2,0,150,21
Charith Asalanka,Pallekele International Cricket Stadium,Pallekele,26,1,3,19,8,42.11,69.23,1,1,0,136.84,26
Charith Asalanka,Perth Stadium,Perth,38,2,3,25,10,40,63.16,1,,,152,
Charith Asalanka,R Premadasa Stadium,Colombo,226,9,14,193,77,39.9,48.67,7,7,0,117.1,32.29
Charith Asalanka,Rangiri Dambulla International Stadium,Dambulla,7,0,0,15,9,60,0,2,2,0,46.67,3.5
Charith Asalanka,Saurashtra Cricket Association Stadium,Saurashtra,19,1,2,14,7,50,73.68,1,1,0,135.71,19
Charith Asalanka,Sharjah Cricket Stadium,Sharjah,136,7,11,103,45,43.69,63.24,5,4,1,132.04,34
Charith Asalanka,Sydney Cricket Ground,Sydney,28,0,2,41,23,56.1,28.57,4,4,0,68.29,7
Charith Asalanka,Sylhet International Cricket Stadium,Sylhet,75,9,1,40,18,45,77.33,3,2,1,187.5,37.5
Charith Asalanka,University Oval,Dunedin,24,2,0,19,7,36.84,50,1,1,0,126.32,24
Charith Asalanka,Wankhede Stadium,Mumbai,12,1,1,15,11,73.33,83.33,1,1,0,80,12
Charith Asalanka,Zayed Cricket Stadium,Abu Dhabi,68,1,8,41,10,24.39,55.88,1,1,0,165.85,68
KL Rahul,Adelaide Oval,Adelaide,55,4,4,37,18,48.65,72.73,2,2,0,148.65,27.5
KL Rahul,Barsapara Cricket Stadium,Guwahati,57,4,5,28,8,28.57,77.19,1,1,0,203.57,57
KL Rahul,Dubai International Cricket Stadium,Dubai,257,11,21,187,66,35.29,58.37,9,8,1,137.43,32.12
KL Rahul,Greenfield International Stadium,Trivandrum,51,4,2,56,34,60.71,62.75,1,,,91.07,
KL Rahul,JSCA International Stadium Complex,Ranchi,65,2,6,49,18,36.73,55.38,1,1,0,132.65,65
KL Rahul,Manuka Oval,Canberra,51,1,5,40,14,35,50.98,1,1,0,127.5,51
KL Rahul,Melbourne Cricket Ground,Melbourne,55,3,3,43,16,37.21,54.55,2,2,0,127.91,27.5
KL Rahul,Narendra Modi Stadium,Ahmedabad,15,0,2,31,23,74.19,53.33,4,4,0,48.39,3.75
KL Rahul,Perth Stadium,Perth,9,1,0,14,10,71.43,66.67,1,1,0,64.29,9
KL Rahul,Punjab Cricket Association IS Bindra Stadium,Mohali,55,3,4,35,10,28.57,61.82,1,1,0,157.14,55
KL Rahul,Rajiv Gandhi International Stadium,Hyderabad,1,0,0,4,4,100,0,1,1,0,25,1
KL Rahul,Sawai Mansingh Stadium,Jaipur,15,1,1,14,8,57.14,66.67,1,1,0,107.14,15
KL Rahul,Sydney Cricket Ground,Sydney,39,1,3,36,19,52.78,46.15,3,3,0,108.33,13
KL Rahul,Vidarbha Cricket Association Stadium,Vidarbha,10,1,0,6,2,33.33,60,1,1,0,166.67,10
KL Rahul,Zayed Cricket Stadium,Abu Dhabi,69,2,6,48,9,18.75,52.17,1,1,0,143.75,69
Keemo Paul,Bay Oval,Mount Maunganui,26,3,0,18,8,44.44,69.23,1,,,144.44,
Keemo Paul,Brian Lara Stadium,Trinidad & Tobago,19,0,2,22,10,45.45,42.11,1,,,86.36,
Keemo Paul,Central Broward Regional Park Stadium Turf Ground,Florida,0,0,0,1,2,200,,1,1,0,0,0
Keemo Paul,Eden Park,Auckland,0,0,0,2,3,150,,1,1,0,0,0
Karthik Meiyappan,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Muscat,3,0,0,6,3,50,0,1,,,50,
Karthik Meiyappan,Dubai International Cricket Stadium,Dubai,12,0,2,9,5,55.56,66.67,1,1,0,133.33,12
Karthik Meiyappan,GMHBA Stadium,Geelong,4,0,0,8,4,50,0,1,1,0,50,4
Kyle Mayers,Bay Oval,Mount Maunganui,25,2,1,18,8,44.44,64,2,1,1,138.89,25
Kyle Mayers,Bellerive Oval,Tasmania,34,1,5,30,17,56.67,76.47,3,3,0,113.33,11.33
Kyle Mayers,Brian Lara Stadium,Trinidad & Tobago,28,2,3,18,11,61.11,85.71,3,3,0,155.56,9.33
Kyle Mayers,Brisbane Cricket Ground,Brisbane,6,1,0,5,4,80,100,1,1,0,120,6
Kyle Mayers,Carrara Oval,Carrara,39,1,5,36,20,55.56,66.67,1,1,0,108.33,39
Kyle Mayers,Central Broward Regional Park Stadium Turf Ground,Florida,41,2,5,28,15,53.57,78.05,3,3,0,146.43,13.67
Kyle Mayers,Eden Gardens,Kolkata,46,0,9,39,23,58.97,78.26,3,3,0,117.95,15.33
Kyle Mayers,Kensington Oval,Barbados,106,10,5,63,31,49.21,75.47,3,3,0,168.25,35.33
Kyle Mayers,National Cricket Stadium,Grenada,17,1,2,19,13,68.42,82.35,2,2,0,89.47,8.5
Kyle Mayers,Perth Stadium,Perth,11,0,2,7,2,28.57,72.73,1,1,0,157.14,11
Kyle Mayers,Providence Stadium,Guyana,95,7,7,65,30,46.15,73.68,3,3,0,146.15,31.67
Kyle Mayers,Sabina Park,Jamaica,5,0,1,13,12,92.31,80,2,2,0,38.46,2.5
Kyle Mayers,SuperSport Park,Centurion,57,5,5,29,12,41.38,87.72,2,2,0,196.55,28.5
Kyle Mayers,The Wanderers Stadium,Johannesburg,17,2,1,10,6,60,94.12,1,1,0,170,17
Kyle Mayers,Warner Park,St Kitts and Nevis,81,4,9,64,33,51.56,74.07,2,2,0,126.56,40.5
Kyle Mayers,Windsor Park,Dominica,17,1,2,9,4,44.44,82.35,1,1,0,188.89,17
Kane Williamson,Adelaide Oval,Adelaide,61,3,5,35,8,22.86,62.3,1,1,0,174.29,61
Kane Williamson,Bay Oval,Mount Maunganui,61,2,4,52,21,40.38,45.9,1,1,0,117.31,61
Kane Williamson,Brisbane Cricket Ground,Brisbane,40,0,3,40,15,37.5,30,1,1,0,100,40
Kane Williamson,Dubai International Cricket Stadium,Dubai,118,3,13,83,30,36.14,59.32,3,2,1,142.17,59
Kane Williamson,Eden Park,Auckland,57,0,9,42,19,45.24,63.16,1,1,0,135.71,57
Kane Williamson,Hagley Oval,Christchurch,141,2,8,119,37,31.09,31.21,5,4,1,118.49,35.25
Kane Williamson,McLean Park,Napier,1,0,0,4,3,75,0,1,1,0,25,1
Kane Williamson,Sabina Park,Jamaica,75,2,7,62,26,41.94,53.33,3,3,0,120.97,25
Kane Williamson,Seddon Park,Hamilton,83,2,11,57,23,40.35,67.47,2,,,145.61,
Kane Williamson,Sharjah Cricket Stadium,Sharjah,53,2,4,51,23,45.1,52.83,2,2,0,103.92,26.5
Kane Williamson,Sky Stadium,Wellington,0,0,0,1,1,100,,1,1,0,0,0
Kane Williamson,Sydney Cricket Ground,Sydney,77,2,3,78,28,35.9,31.17,3,3,0,98.72,25.67
Kane Williamson,University Oval,Dunedin,53,3,2,35,8,22.86,49.06,1,1,0,151.43,53
Kane Williamson,Westpac Stadium,Wellington,17,1,0,18,7,38.89,35.29,2,2,0,94.44,8.5
Kane Williamson,Zayed Cricket Stadium,Abu Dhabi,45,0,3,53,22,41.51,26.67,2,1,1,84.91,45
Kane Richardson,Adelaide Oval,Adelaide,1,0,0,1,,,0,1,,,100,
Kane Richardson,Hagley Oval,Christchurch,5,0,0,5,3,60,0,1,1,0,100,5
Kane Richardson,Perth Stadium,Perth,0,0,0,1,1,100,,1,,,0,
Kane Richardson,Sky Stadium,Wellington,2,0,0,2,,,0,1,,,100,
Karim Janat,Dubai International Cricket Stadium,Dubai,17,1,1,21,13,61.9,58.82,2,2,0,80.95,8.5
Karim Janat,Harare Sports Club,Harare,12,0,0,18,8,44.44,0,1,1,0,66.67,12
Karim Janat,Holkar Cricket Stadium,Indore,20,1,2,10,3,30,70,1,1,0,200,20
Karim Janat,M Chinnaswamy Stadium,Bengaluru,3,0,0,3,,,0,1,,,100,
Karim Janat,Punjab Cricket Association IS Bindra Stadium,Mohali,9,0,2,5,3,60,88.89,1,,,180,
Karim Janat,Rangiri Dambulla International Stadium,Dambulla,48,1,4,40,22,55,45.83,3,3,0,120,16
Karim Janat,Sharjah Cricket Stadium,Sharjah,22,0,1,37,21,56.76,18.18,4,3,1,59.46,7.33
Karim Janat,Sheikh Zayed Stadium,Abu Dhabi,100,5,8,74,29,39.19,62,3,3,0,135.14,33.33
Karim Janat,Shere Bangla National Stadium,Dhaka,6,0,1,8,5,62.5,66.67,1,1,0,75,6
Karim Janat,Sylhet International Cricket Stadium,Sylhet,23,1,1,24,11,45.83,43.48,2,2,0,95.83,11.5
Karim Janat,Zayed Cricket Stadium,Abu Dhabi,160,10,10,91,24,26.37,62.5,5,3,2,175.82,53.33
Karim Janat,Zhejiang University of Technology Cricket Field,Hangzhou,7,0,0,16,11,68.75,0,3,3,0,43.75,2.33
Khushdil Shah,Dubai International Cricket Stadium,Dubai,22,0,1,30,15,50,18.18,4,3,1,73.33,7.33
Khushdil Shah,Eden Park,Auckland,16,0,2,20,11,55,50,1,1,0,80,16
Khushdil Shah,Gaddafi Stadium,Lahore,78,2,6,76,28,36.84,46.15,4,4,0,102.63,19.5
Khushdil Shah,McLean Park,Napier,13,0,2,10,3,30,61.54,1,1,0,130,13
Khushdil Shah,National Stadium,Karachi,36,2,1,31,9,29.03,44.44,3,2,1,116.13,18
Khushdil Shah,Rawalpindi Cricket Stadium,Rawalpindi,52,3,6,28,12,42.86,80.77,3,,,185.71,
Khushdil Shah,Seddon Park,Hamilton,14,0,1,20,10,50,28.57,1,1,0,70,14
Khushdil Shah,Sharjah Cricket Stadium,Sharjah,36,5,0,18,12,66.67,83.33,2,1,1,200,36
Khushdil Shah,Shere Bangla National Stadium,Dhaka,34,1,3,35,19,54.29,52.94,1,1,0,97.14,34
Khushdil Shah,Zhejiang University of Technology Cricket Field,Hangzhou,35,2,2,36,18,50,57.14,3,3,0,97.22,11.67
Kuldeep Yadav,Brian Lara Stadium,Trinidad & Tobago,3,0,0,9,6,66.67,0,1,1,0,33.33,3
Kuldeep Yadav,Central Broward Regional Park Stadium Turf Ground,Florida,0,0,0,1,1,100,,1,1,0,0,0
Kuldeep Yadav,JSCA International Stadium Complex,Ranchi,0,0,0,1,1,100,,1,1,0,0,0
Kuldeep Yadav,R Premadasa Stadium,Colombo,23,0,0,28,12,42.86,0,1,,,82.14,
Lewis Gregory,Old Trafford,Manchester,14,0,2,11,3,27.27,57.14,2,2,0,127.27,7
Lewis Gregory,Trent Bridge,Nottingham,10,0,0,11,3,27.27,0,1,1,0,90.91,10
Lungi Ngidi,County Ground,Bristol,1,0,0,2,1,50,0,1,,,50,
Lungi Ngidi,Kingsmead,Durban,17,0,2,12,5,41.67,47.06,3,,,141.67,
Lungi Ngidi,National Cricket Stadium,Grenada,0,0,0,2,2,100,,1,1,0,0,0
Lungi Ngidi,Saurashtra Cricket Association Stadium,Saurashtra,4,0,0,10,7,70,0,1,1,0,40,4
Lungi Ngidi,Sydney Cricket Ground,Sydney,4,0,1,1,,,100,1,,,400,
Lorcan Tucker,Adelaide Oval,Adelaide,13,0,0,14,6,42.86,0,1,1,0,92.86,13
Lorcan Tucker,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Muscat,91,1,6,76,21,27.63,32.97,5,4,1,119.74,22.75
Lorcan Tucker,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Muscat,5,0,0,9,4,44.44,0,2,2,0,55.56,2.5
Lorcan Tucker,Bellerive Oval,Tasmania,86,2,7,74,34,45.95,46.51,4,3,1,116.22,28.67
Lorcan Tucker,Brisbane Cricket Ground,Brisbane,71,1,9,48,20,41.67,59.15,1,,,147.92,
Lorcan Tucker,Central Broward Regional Park Stadium Turf Ground,Florida,141,5,12,105,35,33.33,55.32,2,1,1,134.29,141
Lorcan Tucker,Civil Service Cricket Club,Belfast,198,3,23,165,67,40.61,55.56,10,10,0,120,19.8
Lorcan Tucker,County Ground,Bristol,78,5,7,39,11,28.21,74.36,2,2,0,200,39
Lorcan Tucker,Goldenacre,Edinburgh,22,0,2,23,8,34.78,36.36,2,1,1,95.65,22
Lorcan Tucker,Grange Cricket Club Ground,Edinburgh,106,4,10,64,20,31.25,60.38,3,1,2,165.62,106
Lorcan Tucker,Harare Sports Club,Harare,41,0,3,39,13,33.33,29.27,3,3,0,105.13,13.67
Lorcan Tucker,Malahide,Dublin,0,0,0,6,6,100,,2,2,0,0,0
Lorcan Tucker,Melbourne Cricket Ground,Melbourne,34,1,3,27,9,33.33,52.94,1,,,125.93,
Lorcan Tucker,Sharjah Cricket Stadium,Sharjah,14,0,0,24,13,54.17,0,3,3,0,58.33,4.67
Lorcan Tucker,The Village,Dublin,28,2,0,30,15,50,42.86,3,3,0,93.33,9.33
Lorcan Tucker,Zahur Ahmed Chowdhury Stadium,Chittagong,10,0,1,14,9,64.29,40,3,3,0,71.43,3.33
Luke Wood,Edgbaston,Birmingham,3,0,0,4,3,75,0,1,1,0,75,3
Liam Dawson,Kensington Oval,Barbados,6,0,1,11,9,81.82,66.67,2,2,0,54.55,3
Liam Dawson,National Stadium,Karachi,34,1,5,17,5,29.41,76.47,1,1,0,200,34
Lizaad Williams,Kingsmead,Durban,2,0,0,5,3,60,0,2,1,1,40,2
Lizaad Williams,SuperSport Park,Centurion,2,0,0,5,3,60,0,1,,,40,
Lizaad Williams,The Village,Dublin,2,0,0,2,,,0,1,,,100,
Lizaad Williams,The Wanderers Stadium,Johannesburg,0,0,0,2,2,100,,1,1,0,0,0
Dinesh Chandimal,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,10,1,0,9,5,55.56,60,1,1,0,111.11,10
Dinesh Chandimal,Coolidge Cricket Ground,Antigua,68,1,3,63,18,28.57,26.47,3,2,1,107.94,34
Dinesh Chandimal,Himachal Pradesh Cricket Association Stadium,Dharamshala,31,0,3,37,16,43.24,38.71,2,2,0,83.78,15.5
Dinesh Chandimal,Manuka Oval,Canberra,25,0,1,29,10,34.48,16,1,1,0,86.21,25
Dinesh Chandimal,Melbourne Cricket Ground,Melbourne,2,0,0,3,1,33.33,0,1,1,0,66.67,2
Dinesh Chandimal,R Premadasa Stadium,Colombo,71,2,5,62,23,37.1,45.07,2,1,1,114.52,71
Dinesh Chandimal,Sydney Cricket Ground,Sydney,44,2,4,38,18,47.37,63.64,2,1,1,115.79,44
Dinesh Chandimal,Zayed Cricket Stadium,Abu Dhabi,11,0,1,18,10,55.56,36.36,2,2,0,61.11,5.5
Lockie Ferguson,Bay Oval,Mount Maunganui,1,0,0,1,,,0,1,,,100,
Lockie Ferguson,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,0,0,0,2,2,100,,1,1,0,0,0
Lockie Ferguson,Eden Gardens,Kolkata,14,2,0,8,5,62.5,85.71,1,1,0,175,14
Lockie Ferguson,Eden Park,Auckland,4,0,0,7,3,42.86,0,1,1,0,57.14,4
Lockie Ferguson,Hagley Oval,Christchurch,0,0,0,1,1,100,,1,1,0,0,0
Lockie Ferguson,McLean Park,Napier,5,0,0,3,1,33.33,0,1,,,166.67,
Lockie Ferguson,Narendra Modi Stadium,Ahmedabad,0,0,0,4,4,100,,1,1,0,0,0
Lockie Ferguson,Old Trafford,Manchester,0,0,0,1,1,100,,1,1,0,0,0
Lockie Ferguson,Riverside Ground,Chester-le-Street,2,0,0,1,,,0,1,,,200,
Ross Taylor,Eden Park,Auckland,0,0,0,4,4,100,,1,1,0,0,0
Liam Livingstone,Brian Lara Stadium,Trinidad & Tobago,82,6,4,50,17,34,63.41,2,1,1,164,82
Liam Livingstone,Brisbane Cricket Ground,Brisbane,20,1,1,14,5,35.71,50,1,1,0,142.86,20
Liam Livingstone,County Ground,Bristol,5,0,1,4,2,50,80,1,1,0,125,5
Liam Livingstone,Dubai International Cricket Stadium,Dubai,1,0,0,2,1,50,0,1,1,0,50,1
Liam Livingstone,Edgbaston,Birmingham,17,0,3,15,8,53.33,70.59,2,2,0,113.33,8.5
Liam Livingstone,Headingley,Leeds,38,3,2,23,10,43.48,68.42,1,1,0,165.22,38
Liam Livingstone,Kensington Oval,Barbados,60,4,2,47,19,40.43,53.33,4,4,0,127.66,15
Liam Livingstone,Melbourne Cricket Ground,Melbourne,2,0,0,3,1,33.33,0,2,,,66.67,
Liam Livingstone,National Cricket Stadium,Grenada,47,4,2,27,9,33.33,68.09,2,2,0,174.07,23.5
Liam Livingstone,Old Trafford,Manchester,6,1,0,2,1,50,100,1,1,0,300,6
Liam Livingstone,Perth Stadium,Perth,29,0,3,21,3,14.29,41.38,1,,,138.1,
Liam Livingstone,Riverside Ground,Chester-le-Street,10,1,0,4,,,60,1,,,250,
Liam Livingstone,Sharjah Cricket Stadium,Sharjah,28,3,1,17,7,41.18,78.57,1,1,0,164.71,28
Liam Livingstone,Sophia Gardens,Wales,47,1,3,36,8,22.22,38.3,2,1,1,130.56,47
Liam Livingstone,Sydney Cricket Ground,Sydney,4,0,0,6,2,33.33,0,1,1,0,66.67,4
Liam Livingstone,The Rose Bowl,Southampton,17,0,2,20,9,45,47.06,3,3,0,85,5.67
Liam Livingstone,Trent Bridge,Nottingham,171,15,6,92,29,31.52,66.67,3,2,1,185.87,85.5
Liam Livingstone,Zayed Cricket Stadium,Abu Dhabi,17,1,1,10,4,40,58.82,1,1,0,170,17
Logan van Beek,Bellerive Oval,Tasmania,2,0,0,5,3,60,0,1,1,0,40,2
Logan van Beek,GMHBA Stadium,Geelong,4,0,0,4,,,0,1,,,100,
Logan van Beek,Perth Stadium,Perth,6,0,0,9,4,44.44,0,1,,,66.67,
Logan van Beek,Queens Sports Club,Bulawayo,19,1,0,17,8,47.06,31.58,2,1,1,111.76,19
Logan van Beek,Sportpark Westvliet,Voorburg,4,0,0,8,5,62.5,0,1,1,0,50,4
Logan van Beek,Sydney Cricket Ground,Sydney,3,0,0,5,3,60,0,1,1,0,60,3
Logan van Beek,Zayed Cricket Stadium,Abu Dhabi,13,0,0,13,3,23.08,0,2,1,1,100,13
Liton Das,Adelaide Oval,Adelaide,70,4,7,35,10,28.57,74.29,2,1,1,200,70
Liton Das,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Muscat,40,1,1,37,12,32.43,25,3,3,0,108.11,13.33
Liton Das,Bellerive Oval,Tasmania,9,0,0,11,4,36.36,0,1,1,0,81.82,9
Liton Das,Brisbane Cricket Ground,Brisbane,14,0,3,12,7,58.33,85.71,1,1,0,116.67,14
Liton Das,Dubai International Cricket Stadium,Dubai,38,0,7,29,14,48.28,73.68,3,3,0,131.03,12.67
Liton Das,Eden Park,Auckland,0,0,0,1,1,100,,1,1,0,0,0
Liton Das,Hagley Oval,Christchurch,142,4,15,100,35,35,59.15,4,4,0,142,35.5
Liton Das,Harare Sports Club,Harare,101,2,14,58,18,31.03,67.33,3,3,0,174.14,33.67
Liton Das,McLean Park,Napier,48,1,3,41,10,24.39,37.5,2,1,1,117.07,48
Liton Das,Providence Stadium,Guyana,49,2,3,41,20,48.78,48.98,1,1,0,119.51,49
Liton Das,Seddon Park,Hamilton,4,0,1,5,5,100,100,1,1,0,80,4
Liton Das,Sharjah Cricket Stadium,Sharjah,60,0,6,59,20,33.9,40,2,2,0,101.69,30
Liton Das,Shere Bangla National Stadium,Dhaka,220,5,23,186,85,45.7,55.45,9,9,0,118.28,24.44
Liton Das,Sydney Cricket Ground,Sydney,34,1,1,31,8,25.81,29.41,1,1,0,109.68,34
Liton Das,Sylhet International Cricket Stadium,Sylhet,96,1,14,93,49,52.69,64.58,5,5,0,103.23,19.2
Liton Das,Windsor Park,Dominica,14,0,3,18,13,72.22,85.71,2,2,0,77.78,7
Liton Das,Zahur Ahmed Chowdhury Stadium,Chittagong,147,6,17,78,23,29.49,70.75,4,4,0,188.46,36.75
Liton Das,Zayed Cricket Stadium,Abu Dhabi,33,0,3,44,24,54.55,36.36,2,2,0,75,16.5
Marco Jansen,Kingsmead,Durban,20,0,3,14,3,21.43,60,1,1,0,142.86,20
Marco Jansen,Saurashtra Cricket Association Stadium,Saurashtra,12,1,1,17,14,82.35,83.33,1,1,0,70.59,12
Marnus Labuschagne,Gaddafi Stadium,Lahore,2,0,0,4,3,75,0,1,1,0,50,2
Matthew Montgomery,Grange Cricket Club Ground,Edinburgh,13,0,1,19,9,47.37,30.77,1,1,0,68.42,13
Matheesha Pathirana,Dubai International Cricket Stadium,Dubai,5,0,0,12,8,66.67,0,1,1,0,41.67,5
Matheesha Pathirana,Rangiri Dambulla International Stadium,Dambulla,5,0,1,4,2,50,80,1,,,125,
Maheesh Theekshana,Dubai International Cricket Stadium,Dubai,0,0,0,2,2,100,,1,1,0,0,0
Maheesh Theekshana,GMHBA Stadium,Geelong,11,1,0,11,5,45.45,54.55,1,,,100,
Maheesh Theekshana,John Davies Oval,Queenstown,0,0,0,2,2,100,,1,,,0,
Maheesh Theekshana,Melbourne Cricket Ground,Melbourne,3,0,0,3,1,33.33,0,1,,,100,
Maheesh Theekshana,R Premadasa Stadium,Colombo,2,0,0,7,5,71.43,0,3,2,1,28.57,1
Maheesh Theekshana,Rangiri Dambulla International Stadium,Dambulla,2,0,0,6,4,66.67,0,1,1,0,33.33,2
Maheesh Theekshana,Saurashtra Cricket Association Stadium,Saurashtra,2,0,0,5,5,100,0,1,1,0,40,2
Maheesh Theekshana,Sharjah Cricket Stadium,Sharjah,9,0,1,5,1,20,44.44,2,1,1,180,9
Maheesh Theekshana,Sydney Cricket Ground,Sydney,6,1,0,5,4,80,100,2,1,1,120,6
Maheesh Theekshana,University Oval,Dunedin,0,0,0,4,4,100,,1,1,0,0,0
Maheesh Theekshana,Wankhede Stadium,Mumbai,1,0,0,4,3,75,0,1,1,0,25,1
Michael Jones,Bellerive Oval,Tasmania,110,4,10,77,28,36.36,58.18,3,3,0,142.86,36.67
Michael Jones,Grange Cricket Club Ground,Edinburgh,0,0,0,2,2,100,,1,1,0,0,0
Mitchell Starc,Carrara Oval,Carrara,6,0,0,4,1,25,0,1,,,150,
Mitchell Starc,Daren Sammy National Cricket Stadium,Saint Lucia,19,0,1,23,9,39.13,21.05,3,1,2,82.61,19
Mitchell Starc,Dubai International Cricket Stadium,Dubai,13,1,1,6,2,33.33,76.92,1,1,0,216.67,13
Mitchell Starc,Manuka Oval,Canberra,1,0,0,2,1,50,0,1,1,0,50,1
Mitchell Starc,Shere Bangla National Stadium,Dhaka,27,0,2,24,10,41.67,29.63,2,1,1,112.5,27
Mitchell Starc,Sydney Cricket Ground,Sydney,5,0,0,10,5,50,0,2,2,0,50,2.5
Mitchell Starc,The Rose Bowl,Southampton,2,0,0,1,,,0,1,,,200,
Mark Wood,Sharjah Cricket Stadium,Sharjah,1,0,0,1,,,0,1,,,100,
Moises Henriques,Daren Sammy National Cricket Stadium,Saint Lucia,95,5,4,77,31,40.26,48.42,5,4,1,123.38,23.75
Moises Henriques,Manuka Oval,Canberra,30,1,1,20,4,20,33.33,1,1,0,150,30
Moises Henriques,Shere Bangla National Stadium,Dhaka,40,1,3,46,22,47.83,45,5,4,1,86.96,10
Moises Henriques,Sydney Cricket Ground,Sydney,31,1,1,20,1,5,32.26,2,1,1,155,31
Monank Patel,Bulawayo Athletic Club,Bulawayo,86,3,9,57,21,36.84,62.79,3,3,0,150.88,28.67
Monank Patel,Central Broward Regional Park Stadium Turf Ground,Florida,28,1,2,29,14,48.28,50,2,2,0,96.55,14
Monank Patel,Coolidge Cricket Ground,Antigua,21,1,3,13,6,46.15,85.71,2,1,1,161.54,21
Monank Patel,Prairie View Cricket Complex,Houston,120,3,17,71,28,39.44,71.67,3,3,0,169.01,40
Monank Patel,Queens Sports Club,Bulawayo,17,0,3,15,8,53.33,70.59,1,1,0,113.33,17
Monank Patel,Sir Vivian Richards Stadium,Antigua,30,0,6,16,5,31.25,80,1,1,0,187.5,30
Dasun Shanaka,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,3,0,0,6,4,66.67,0,1,1,0,50,3
Dasun Shanaka,Dubai International Cricket Stadium,Dubai,113,5,9,90,40,44.44,58.41,6,5,1,125.56,22.6
Dasun Shanaka,Eden Park,Auckland,1,0,0,3,2,66.67,0,1,1,0,33.33,1
Dasun Shanaka,GMHBA Stadium,Geelong,37,2,2,29,11,37.93,54.05,3,3,0,127.59,12.33
Dasun Shanaka,Himachal Pradesh Cricket Association Stadium,Dharamshala,121,7,11,57,17,29.82,71.07,2,,,212.28,
Dasun Shanaka,John Davies Oval,Queenstown,15,0,2,8,2,25,53.33,1,1,0,187.5,15
Dasun Shanaka,Maharashtra Cricket Association Stadium,Pune,56,6,2,22,4,18.18,78.57,1,,,254.55,
Dasun Shanaka,Manuka Oval,Canberra,39,0,5,38,16,42.11,51.28,1,,,102.63,
Dasun Shanaka,Melbourne Cricket Ground,Melbourne,36,2,0,35,14,40,33.33,2,2,0,102.86,18
Dasun Shanaka,Pallekele International Cricket Stadium,Pallekele,54,4,5,25,10,40,81.48,1,,,216,
Dasun Shanaka,Perth Stadium,Perth,3,0,0,5,3,60,0,1,1,0,60,3
Dasun Shanaka,R Premadasa Stadium,Colombo,112,2,11,109,49,44.95,50,9,8,1,102.75,14
Dasun Shanaka,Rangiri Dambulla International Stadium,Dambulla,19,1,2,12,4,33.33,73.68,2,2,0,158.33,9.5
Dasun Shanaka,Saurashtra Cricket Association Stadium,Saurashtra,23,2,0,17,5,29.41,52.17,1,1,0,135.29,23
Dasun Shanaka,Sharjah Cricket Stadium,Sharjah,48,1,5,47,20,42.55,54.17,4,3,1,102.13,16
Dasun Shanaka,Sophia Gardens,Wales,58,2,3,58,27,46.55,41.38,2,2,0,100,29
Dasun Shanaka,Sydney Cricket Ground,Sydney,80,4,6,76,38,50,60,4,4,0,105.26,20
Dasun Shanaka,Sylhet International Cricket Stadium,Sylhet,39,2,3,27,9,33.33,61.54,2,1,1,144.44,39
Dasun Shanaka,The Rose Bowl,Southampton,7,0,1,15,12,80,57.14,1,1,0,46.67,7
Dasun Shanaka,University Oval,Dunedin,7,0,1,8,4,50,57.14,1,1,0,87.5,7
Dasun Shanaka,Wankhede Stadium,Mumbai,45,3,3,27,8,29.63,66.67,1,1,0,166.67,45
Dasun Shanaka,Zayed Cricket Stadium,Abu Dhabi,46,2,4,25,4,16,60.87,2,,,184,
Kusal Perera,Dubai International Cricket Stadium,Dubai,35,1,4,25,10,40,62.86,1,1,0,140,35
Kusal Perera,Eden Park,Auckland,53,1,4,45,20,44.44,41.51,1,,,117.78,
Kusal Perera,John Davies Oval,Queenstown,33,2,2,21,6,28.57,60.61,1,1,0,157.14,33
Kusal Perera,R Premadasa Stadium,Colombo,86,1,8,72,23,31.94,44.19,4,4,0,119.44,21.5
Kusal Perera,Rangiri Dambulla International Stadium,Dambulla,0,0,0,2,2,100,,1,1,0,0,0
Kusal Perera,Sharjah Cricket Stadium,Sharjah,48,0,7,46,23,50,58.33,4,3,1,104.35,16
Kusal Perera,Sophia Gardens,Wales,51,1,1,51,18,35.29,19.61,2,2,0,100,25.5
Kusal Perera,The Rose Bowl,Southampton,3,0,0,6,4,66.67,0,1,1,0,50,3
Kusal Perera,University Oval,Dunedin,35,1,2,32,11,34.38,40,1,1,0,109.38,35
Kusal Perera,Zayed Cricket Stadium,Abu Dhabi,40,1,4,30,13,43.33,55,3,3,0,133.33,13.33
